INDEX;UUID;LINE;NAME;LATITUDE;LONGITUDE
2300;a036f675-ab4d-4096-bfa2-de5c78d9e4f7;M8;Porte Dorée;48,83478516;2,405383211
2310;a809871f-e266-43c2-baf3-133b134805f3;M8;Porte de Charenton;48,83316293;2,401448054
2320;76ce7521-778e-4a8c-b8ac-38c7d2bef55d;M8;Liberté;48,826055;2,406742226
2330;b20e640f-c2e3-4ed8-9a06-6aef2dfca451;M8;Charenton - Ecoles;48,82159577;2,413737518
2340;594e152f-840b-454b-a5de-ebc570d55d06;M8;Ecole Vétérinaire de Maison-Alfort;48,81480301;2,422376143
2350;a167312b-b88b-47a3-8f6f-925b3a70d6a7;M8;Maison-Alfort - Stade;48,80914436;2,434509896
2360;19584eb2-62ad-4fe3-bac1-22af2eb5a679;M8;Maison-Alfort - Les Juilliotes;48,80263769;2,446927484
2370;fed166b5-d6b1-44bd-9e24-1d23da0e12a5;M8;Créteil - L'Echat;48,79674077;2,449433176
2380;4d5c04fa-e4c0-4163-b408-8c4230a32d5a;M8;Créteil - Université;48,78997831;2,450453178
2390;8ce7ebbc-6abe-4f49-a278-702a0443370c;M8;Créteil - Préfecture;48,77990532;2,459368396
2400;a3093a0a-b2c1-4bbf-9aed-295215cbf8f2;M8;Pointe du Lac;48,76871513;2,464564993
2410;97b91d0e-3882-41d3-bdbb-ce8cb50144f0;M9;Pont de Sèvres;48,82967484;2,230799591
2420;13c41adc-2502-4b2f-b7bd-d76360664528;M9;Billancourt;48,83211056;2,238639349
2430;1feb8620-6d9d-4cc2-bef7-79a24eff8bfc;M9;Marcel Sambat;48,83370885;2,243840592
2440;a19bb1ed-5164-4a3e-82e2-8736b844d6b6;M9;Porte de Saint-Cloud;48,83796121;2,25712223
2450;94d12ccc-31a5-4da4-9ed4-44da0588947a;M9;Exelmans;48,8429387;2,260032902
2460;f3aab47b-024e-4644-b9dd-058a089c2a76;M9;Michel-Ange - Molitor;48,84505817;2,261745125
2470;a95f7f34-baa5-49a5-96e4-7dd6b16aaa8b;M9;Michel-Ange - Auteil;48,84789565;2,264082031
2480;3239b99f-00a4-4ecb-8722-702ad5470a2f;M9;Jasmin;48,85250409;2,268176749
2490;cd9992f4-dfd1-46f3-aaad-28c9c54f0ed3;M9;Ranelagh;48,85548505;2,270109139
